"MemoryMB","TotalConnections","ActiveConnections","CpuPercent","Timestamp","IdleConnections","TotalPools"
"509,73","0","0","22","2026-02-09 04:57:16","0","1"
"95,71","0","0","15","2026-02-09 04:57:29","0","1"
"95,13","0","0","5","2026-02-09 04:57:43","0","1"
"94,76","0","0","17","2026-02-09 04:57:56","0","1"
"93,22","0","0","9","2026-02-09 04:58:09","0","1"
"94,85","0","0","7","2026-02-09 04:58:22","0","1"
"94,05","0","0","15","2026-02-09 04:58:35","0","1"
"96,14","0","0","8","2026-02-09 04:58:48","0","1"
"93,62","0","0","12","2026-02-09 04:59:01","0","1"
"94,09","0","0","12","2026-02-09 04:59:14","0","1"
